Company,Tier,Lead_Score,Target_Title,Contact_Name,Email,LinkedIn_URL,Phone,Secondary_Contact,Secondary_Email,Notes
Canadian Tire DC,Manufacturing,83,DC Manager / Facilities Director,,[FIND: firstname.lastname@cantire.com],https://www.linkedin.com/search/results/people/?keywords=DC%20Manager%20Canadian%20Tire%20Vaughan,905-761-7200 (Main),,,[LinkedIn Search: "Distribution Center Manager" Canadian Tire]
Loblaws Distribution Center,Manufacturing,82,VP Supply Chain,,[FIND: firstname.lastname@loblaw.ca],https://www.linkedin.com/search/results/people/?keywords=VP%20Supply%20Chain%20Loblaws%20Brampton,905-459-2500 (Main),,,[LinkedIn Search: "VP Supply Chain" Loblaws]
Coca-Cola Canada Bottling,Manufacturing,81,Plant Manager,,[FIND: firstname.lastname@coke.com],https://www.linkedin.com/search/results/people/?keywords=Plant%20Manager%20Coca%20Cola%20Mississauga,905-568-4646 (Main),,,[LinkedIn Search: "Plant Manager" Coca-Cola Mississauga]
Ferrero Canada,Manufacturing,80,Operations Director,,[FIND: firstname.lastname@ferrero.com],https://www.linkedin.com/search/results/people/?keywords=Operations%20Director%20Ferrero%20Markham,905-305-8000 (Main),,,[LinkedIn Search: "Operations Director" Ferrero Markham]
AMD Markham,Manufacturing,79,Facilities Manager,,[FIND: firstname.lastname@amd.com],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20AMD%20Markham,905-882-2600 (Main),,,[LinkedIn Search: "Facilities Manager" AMD Markham]
First Canadian Place,Commercial RE,94,Building Manager / Chief Engineer,,[FIND: firstname.lastname@brookfield.com],https://www.linkedin.com/search/results/people/?keywords=Building%20Manager%20First%20Canadian%20Place,416-863-7200 (Main),,,[LinkedIn Search: "Building Manager" First Canadian Place - Brookfield manages]
TD Centre,Commercial RE,93,VP Property Management / Facilities Director,,[FIND: firstname.lastname@brookfield.com OR @cppib.com],https://www.linkedin.com/search/results/people/?keywords=Property%20Management%20TD%20Centre,416-982-8222 (Main),,,[Owned by Brookfield - search both]
Brookfield Place,Commercial RE,92,Property Manager,,[FIND: firstname.lastname@brookfield.com],https://www.linkedin.com/search/results/people/?keywords=Property%20Manager%20Brookfield%20Place%20Toronto,416-369-2300 (Main),,,[LinkedIn Search: "Property Manager" Brookfield Place]
Scotia Plaza,Commercial RE,91,Building Operations Manager,,[FIND: firstname.lastname@scotiabank.com OR @hinesimaging.com],https://www.linkedin.com/search/results/people/?keywords=Building%20Manager%20Scotia%20Plaza,416-866-6161 (Main),,,[Managed by Hines for Scotiabank]
RBC Centre (Royal Bank Plaza),Commercial RE,90,Chief Engineer / Facilities Lead,,[FIND: firstname.lastname@oxfordproperties.com],https://www.linkedin.com/search/results/people/?keywords=Chief%20Engineer%20Royal%20Bank%20Plaza,416-974-5151 (Main),,,[Oxford Properties manages - search there]
TD Bank Tower,Commercial RE,89,Property Management Director,,[FIND: firstname.lastname@cppib.com],https://www.linkedin.com/search/results/people/?keywords=Property%20Manager%20TD%20Bank%20Tower,416-982-8222 (Main),,,[CPPIB owned]
Bay Adelaide Centre,Commercial RE,88,Senior Property Manager,,[FIND: firstname.lastname@brookfield.com],https://www.linkedin.com/search/results/people/?keywords=Property%20Manager%20Bay%20Adelaide%20Centre,416-369-2300 (Main),,,[Brookfield managed]
Sun Life Financial Tower,Commercial RE,87,Building Manager,,[FIND: firstname.lastname@sunlife.com OR @brookfield.com],https://www.linkedin.com/search/results/people/?keywords=Building%20Manager%20Sun%20Life%20Tower,416-979-9966 (Main),,,[Check both Sun Life and Brookfield]
CF Toronto Eaton Centre,Commercial RE,86,General Manager / Facilities Director,,[FIND: firstname.lastname@cadillacfairview.com],https://www.linkedin.com/search/results/people/?keywords=General%20Manager%20Eaton%20Centre,416-598-8560 (Main),,,[Cadillac Fairview owns]
Oxford Properties - EY Tower,Commercial RE,85,Senior Asset Manager,,[FIND: firstname.lastname@oxfordproperties.com],https://www.linkedin.com/search/results/people/?keywords=Asset%20Manager%20Oxford%20Properties%20Toronto,416-863-2000 (Main),,,[Oxford Properties portfolio]
Americold Toronto,Cold Storage,92,Facility Manager / Regional Operations Director,,[FIND: firstname.lastname@americold.com],https://www.linkedin.com/search/results/people/?keywords=Facility%20Manager%20Americold%20Toronto,905-403-8900 (Main),,,[LinkedIn Search: "Facility Manager" Americold Toronto]
Lineage Logistics,Cold Storage,90,GM Cold Storage Operations,,[FIND: firstname.lastname@lineagelogistics.com],https://www.linkedin.com/search/results/people/?keywords=General%20Manager%20Lineage%20Logistics%20Toronto,905-625-2200 (Main),,,[LinkedIn Search: "General Manager" Lineage Toronto]
Versacold,Cold Storage,88,Operations Manager,,[FIND: firstname.lastname@versacold.com],https://www.linkedin.com/search/results/people/?keywords=Operations%20Manager%20Versacold%20Brampton,905-451-4446 (Main),,,[LinkedIn Search: "Operations Manager" Versacold]
Congebec Cold Storage,Cold Storage,86,Facility Director,,[FIND: firstname@congebec.com],https://www.linkedin.com/search/results/people/?keywords=Facility%20Director%20Congebec%20Toronto,905-238-6700 (Main),,,[LinkedIn Search: "Facility Director" Congebec]
Hanson Logistics,Cold Storage,84,VP Operations,,[FIND: firstname.lastname@hansonlogistics.com],https://www.linkedin.com/search/results/people/?keywords=VP%20Operations%20Hanson%20Logistics,905-677-0008 (Main),,,[LinkedIn Search: "VP Operations" Hanson]
Sunnybrook Health Sciences Centre,Healthcare,91,Director of Facilities & Real Estate,,[FIND: firstname.lastname@sunnybrook.ca],https://www.linkedin.com/search/results/people/?keywords=Director%20Facilities%20Sunnybrook,416-480-6100 (Main),,,[LinkedIn Search: "Director of Facilities" Sunnybrook]
Toronto General Hospital (UHN),Healthcare,90,VP Operations & Facilities,,[FIND: firstname.lastname@uhn.ca],https://www.linkedin.com/search/results/people/?keywords=VP%20Operations%20UHN%20Toronto%20General,416-340-4800 (Main),,,[LinkedIn Search: "VP Operations" UHN]
SickKids Hospital,Healthcare,89,Facilities Manager,,[FIND: firstname.lastname@sickkids.ca],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20SickKids,416-813-1500 (Main),,,[LinkedIn Search: "Facilities Manager" SickKids]
Mount Sinai Hospital,Healthcare,87,Director of Plant Operations,,[FIND: firstname.lastname@sinaihealth.ca],https://www.linkedin.com/search/results/people/?keywords=Director%20Plant%20Operations%20Mount%20Sinai,416-586-4800 (Main),,,[LinkedIn Search: "Plant Operations" Mount Sinai]
Humber River Hospital,Healthcare,85,VP Facilities & Support Services,,[FIND: firstname.lastname@hrh.ca],https://www.linkedin.com/search/results/people/?keywords=VP%20Facilities%20Humber%20River%20Hospital,416-242-1000 (Main),,,[LinkedIn Search: "VP Facilities" Humber River]
University of Toronto,Education,88,Director of Utilities & Energy Management,,[FIND: firstname.lastname@utoronto.ca],https://www.linkedin.com/search/results/people/?keywords=Director%20Energy%20University%20Toronto,416-978-2011 (Main),,,[LinkedIn Search: "Energy Management" OR "Utilities" University of Toronto]
Toronto Metropolitan University (Ryerson),Education,86,AVP Campus Facilities & Sustainability,,[FIND: firstname.lastname@torontomu.ca OR @ryerson.ca],https://www.linkedin.com/search/results/people/?keywords=AVP%20Facilities%20Toronto%20Metropolitan%20University,416-979-5000 (Main),,,[LinkedIn Search: "Campus Facilities" Toronto Metropolitan]
York University,Education,85,Associate VP Campus Services,,[FIND: firstname.lastname@yorku.ca],https://www.linkedin.com/search/results/people/?keywords=Associate%20VP%20Campus%20Services%20York%20University,416-736-2100 (Main),,,[LinkedIn Search: "Campus Services" York University]
Seneca College,Education,83,Director of Facilities Management,,[FIND: firstname.lastname@senecacollege.ca],https://www.linkedin.com/search/results/people/?keywords=Director%20Facilities%20Seneca%20College,416-491-5050 (Main),,,[LinkedIn Search: "Facilities" Seneca College]
George Brown College,Education,81,Manager of Facilities & Campus Services,,[FIND: firstname.lastname@georgebrown.ca],https://www.linkedin.com/search/results/people/?keywords=Facilities%20Manager%20George%20Brown%20College,416-415-2000 (Main),,,[LinkedIn Search: "Facilities" George Brown]
